AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.860243579514 (0.00269433187215),0.9358 (0.0013977760113),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=100, random_state=None)",0.478214523651 (0.0109341709468),0.359813395535 (0.0124758698667),0.239802993315 (0.00565503449849),0.20711756007 (0.00543813778819),0.123541676806 (0.00278215203941),0.087244736036 (0.00199829562671),0.0778282483979 (0.0017298005052),0.35801280952 (0.00485506260975),0.538432558012 (0.0104219384751),0.717760141657 (0.00503898483459),0.774846740118 (0.00320298707431),0.924330873376 (0.0026180767149),0.979087468162 (0.0041336929111),0.98996804698 (0.00283947289645),0.409416823662 (0.00564748936974),0.431304162401 (0.0117169294066),0.35945889426 (0.00644485594704),0.32683277516 (0.00695468698636),0.217939817375 (0.00429993801778),0.160206249158 (0.00336245966594),0.144305641357 (0.00295913278566),0.366114664078 (0.0787128102126),13.3713963985 (3.050377797)
0.864063084305 (0.00348025090138),0.937086666667 (0.00115366083982),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.481545636243 (0.0132804068882),0.363745418194 (0.0105386774766),0.242859523413 (0.00629939100318),0.209438741501 (0.00545454540607),0.123791747217 (0.00284265726305),0.0872316785921 (0.00208328548313),0.077957727148 (0.00191788859427),0.360496326861 (0.00686195078793),0.544373786301 (0.00819918378883),0.726780866309 (0.00284802512564),0.783436166658 (0.00454067138932),0.926130701324 (0.00547867850474),0.978860192406 (0.002042963997),0.991409361012 (0.00165045185153),0.412262092391 (0.00819643264994),0.436035314711 (0.00931948519873),0.364024711022 (0.00728796202863),0.33048699531 (0.00698782137879),0.21837892548 (0.00442265783331),0.160181162186 (0.0035135334824),0.144543457465 (0.00330478401326),0.161742019653 (0.00196394990103),2.42318096161 (0.0609042264757)
0.864621124747 (0.00292358893708),0.937153333333 (0.00109475517304),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483488298638 (0.0133574958956),0.365678107298 (0.0100732377991),0.24369271788 (0.0064164413601),0.209465404613 (0.00528266157562),0.12383174455 (0.00277833556715),0.0872227900982 (0.00215233735955),0.0779498843183 (0.00188054637053),0.362178694449 (0.00628155328246),0.547275753627 (0.00733812048128),0.729270033407 (0.00354739137666),0.783543646406 (0.00238420153429),0.926437438129 (0.00474999788489),0.97874393196 (0.00307650780232),0.991321519333 (0.00174525334422),0.414078108915 (0.00796513241541),0.438355102923 (0.00864669285808),0.36527301221 (0.00746533122545),0.330529721914 (0.00667783198006),0.218449688975 (0.00430276601499),0.160164624657 (0.00364220320224),0.14452904008 (0.00323556640056),0.14690656662 (0.000891414264495),4.83447384834 (0.0377507727147)
0.863349100242 (0.00316370149145),0.93696 (0.000868817843074),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.48474350433 (0.0133284471021),0.363812062646 (0.0103447131663),0.242492917847 (0.0059668824918),0.209545393947 (0.00545154686277),0.12383174455 (0.00288196755289),0.0872220131154 (0.00210513209349),0.0779106701698 (0.00187661723777),0.362842419528 (0.00367318865484),0.544473233963 (0.00752177167619),0.725715527917 (0.00420229674063),0.783832761303 (0.00397236221143),0.926422995629 (0.00539437536613),0.978758184093 (0.00329583838774),0.99082456828 (0.00238041833222),0.414968419672 (0.00647824383754),0.436115256903 (0.00899296354406),0.363479133136 (0.00684191029344),0.330655079679 (0.006969491843),0.218449291538 (0.00449112944267),0.160163499125 (0.00355553235065),0.144456355555 (0.00322947915842),0.145851421356 (0.000504424017327),1.30170817375 (0.0534730424088)
0.864571510959 (0.00295441960691),0.9374 (0.001056619347),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.0132616775854),0.364611796068 (0.0102865878742),0.243726045659 (0.00597636864961),0.209652046394 (0.0048616146324),0.123778414772 (0.0030006590923),0.0871961246167 (0.00210902813523),0.0779969412964 (0.001868832932),0.361277510711 (0.00597164771731),0.545682073142 (0.00814219067538),0.729397747557 (0.00210585403074),0.78427864643 (0.00194072159129),0.925998423874 (0.00458609118383),0.978454940285 (0.00259544077067),0.99192313616 (0.00137746383133),0.413163577522 (0.00762915062697),0.437077644344 (0.00905564599757),0.365326495677 (0.00678663248531),0.330827539543 (0.00601212554137),0.218354497468 (0.00469388852449),0.160115795502 (0.00356205416976),0.144616325097 (0.00321358300198),0.147143936157 (0.00149014758725),4.79737200737 (0.0474656263353)
0.859857398054 (0.00222021060705),0.936 (0.00136821051012),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=200, random_state=None)",0.479013990673 (0.0103896541983),0.36034655115 (0.0108848977718),0.2395934011 (0.00545028924426),0.206793701833 (0.00480626681021),0.123360111991 (0.00274845252664),0.0871953460538 (0.00197260786892),0.0778002484051 (0.0017591221819),0.358620033905 (0.00481111033856),0.539272341621 (0.00836924830927),0.717073572569 (0.00494672993394),0.773605482623 (0.00180228985013),0.922941295017 (0.00290476969322),0.978493464553 (0.00342469251126),0.989462137761 (0.00224564570361),0.41010693769 (0.00527262471166),0.431956598271 (0.0097515834062),0.35913752998 (0.00614782676637),0.326318785507 (0.00594449681611),0.217618608398 (0.0042414529518),0.160114997826 (0.00331272386183),0.14425206368 (0.00301126765476),0.595850372314 (0.0949817529215),21.0720359325 (4.88226804381)
0.863177277709 (0.00302812345839),0.93716 (0.000859819102422),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.479813457695 (0.0129555872191),0.36467844052 (0.00932212720576),0.241926345609 (0.00609123852726),0.2087455006 (0.00587399906559),0.123511765882 (0.00300450711734),0.0871938531215 (0.00213925312398),0.0778818630018 (0.00179542608794),0.359190597659 (0.00607191464649),0.545790547581 (0.00576215996125),0.724003126403 (0.00293152340774),0.780802992539 (0.00517029893074),0.924001876486 (0.00473152605882),0.978449959707 (0.00328893525891),0.99093921491 (0.00153831565964),0.410773170574 (0.00754214669187),0.437160334908 (0.00756294525732),0.362627760365 (0.00698653813061),0.329389516229 (0.00764531339647),0.217884071483 (0.00470385156399),0.160111878593 (0.00361787488208),0.144408193565 (0.00308108440164),0.14516916275 (0.000344752460758),1.11093158722 (0.021094281315)
0.863614104125 (0.00306244952583),0.93708 (0.0013200336696),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483677548301 (0.0126897465165),0.364011996001 (0.0101566669377),0.242359606732 (0.0059958517169),0.209145447274 (0.00588065186775),0.123698420105 (0.00302549564874),0.0871872361228 (0.00216291959765),0.077957727148 (0.00187441988895),0.362089846845 (0.00607888146156),0.544762883951 (0.0061000227159),0.725304673895 (0.00222516894002),0.782289373143 (0.00354774475559),0.925399946532 (0.00559912631787),0.978341993336 (0.0030161208732),0.991422467843 (0.00152043802204),0.414085782758 (0.00740317290805),0.436351736757 (0.00850526732007),0.363277853875 (0.00683108561252),0.330019812455 (0.00762285640114),0.218213394093 (0.00474624253116),0.160099292786 (0.00366111045356),0.144543597993 (0.003224325804),0.162101364136 (0.000742232635544),2.10246014595 (0.0370321048785)
0.863923834829 (0.00287801682232),0.93724 (0.00121498056683),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.012489495702),0.365678107298 (0.0110710055473),0.243226128979 (0.00607315898944),0.209038794827 (0.00465422159938),0.123765082328 (0.00258374381372),0.087178347629 (0.00217388647134),0.0779734128073 (0.00193236246593),0.36129943454 (0.00624272448226),0.547268150053 (0.00959823056522),0.727891999541 (0.00153535188658),0.782004847805 (0.00317703246172),0.925972448284 (0.00522294043953),0.978237543362 (0.00255896789284),0.991604112515 (0.00133037051092),0.413177892191 (0.00737555539762),0.438352776223 (0.010147556288),0.364575974202 (0.00692727944194),0.329861654035 (0.00570790977696),0.218333023678 (0.00395962139936),0.160082910681 (0.0036806638904),0.144572488358 (0.00333109505638),0.154408836365 (0.0149964576756),2.45621500015 (0.0478201930749)
0.862933757932 (0.00332078756552),0.936806666667 (0.00114239514471),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.479747190289 (0.0110855127676),0.363145618127 (0.0115785025687),0.241669317572 (0.00578629631685),0.208825489935 (0.00549971517121),0.123725084994 (0.00281026931386),0.087178347629 (0.00203089927952),0.0778322418729 (0.00188332454662),0.359207244898 (0.00497138642919),0.543440782767 (0.00900528439347),0.723722154036 (0.00467490541723),0.781129427923 (0.0032073861438),0.925642719914 (0.00622518613915),0.978276547009 (0.00266030257441),0.989822665344 (0.00101919166379),0.410760113041 (0.00579932545481),0.435305143715 (0.0105175592649),0.362305325759 (0.00665055252961),0.329518190097 (0.00703587434504),0.218261619938 (0.00437174612638),0.160083432843 (0.00341863077181),0.144310886693 (0.00324060043221),0.145590114594 (0.000845462421476),1.32242965698 (0.014347422664)
