AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.864621124747 (0.00292358893708),0.937153333333 (0.00109475517304),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483488298638 (0.0133574958956),0.365678107298 (0.0100732377991),0.24369271788 (0.0064164413601),0.209465404613 (0.00528266157562),0.12383174455 (0.00277833556715),0.0872227900982 (0.00215233735955),0.0779498843183 (0.00188054637053),0.362178694449 (0.00628155328246),0.547275753627 (0.00733812048128),0.729270033407 (0.00354739137666),0.783543646406 (0.00238420153429),0.926437438129 (0.00474999788489),0.97874393196 (0.00307650780232),0.991321519333 (0.00174525334422),0.414078108915 (0.00796513241541),0.438355102923 (0.00864669285808),0.36527301221 (0.00746533122545),0.330529721914 (0.00667783198006),0.218449688975 (0.00430276601499),0.160164624657 (0.00364220320224),0.14452904008 (0.00323556640056),0.14690656662 (0.000891414264495),4.83447384834 (0.0377507727147)
0.863923834829 (0.00287801682232),0.93724 (0.00121498056683),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.012489495702),0.365678107298 (0.0110710055473),0.243226128979 (0.00607315898944),0.209038794827 (0.00465422159938),0.123765082328 (0.00258374381372),0.087178347629 (0.00217388647134),0.0779734128073 (0.00193236246593),0.36129943454 (0.00624272448226),0.547268150053 (0.00959823056522),0.727891999541 (0.00153535188658),0.782004847805 (0.00317703246172),0.925972448284 (0.00522294043953),0.978237543362 (0.00255896789284),0.991604112515 (0.00133037051092),0.413177892191 (0.00737555539762),0.438352776223 (0.010147556288),0.364575974202 (0.00692727944194),0.329861654035 (0.00570790977696),0.218333023678 (0.00395962139936),0.160082910681 (0.0036806638904),0.144572488358 (0.00333109505638),0.154408836365 (0.0149964576756),2.45621500015 (0.0478201930749)
0.86428640969 (0.00275048987876),0.937073333333 (0.00123691372195),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.478614257162 (0.0110086089624),0.365144951683 (0.0106576960586),0.243126145642 (0.00605979306159),0.209625383282 (0.00564578402384),0.123778414772 (0.00283338756765),0.0871516821475 (0.00218898899712),0.0779185129995 (0.00183897214988),0.358306846518 (0.00458708465972),0.546470539242 (0.00857937718741),0.727594902125 (0.00207814874396),0.784114736339 (0.00414772407089),0.92603170663 (0.00532789525849),0.977933302463 (0.00225485921025),0.990933860065 (0.00115679201097),0.409755722775 (0.00553354290631),0.437713795352 (0.00951942679037),0.364426373997 (0.00691744151284),0.330779720265 (0.00726591877782),0.218355427578 (0.00440524033135),0.160033875857 (0.00370770570008),0.1444709959 (0.00315836691111),0.16293182373 (0.000889147888431),2.43487195969 (0.0589909969206)
0.863716753237 (0.00325773894583),0.937173333333 (0.00120892973787),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.479680213191 (0.0103296721883),0.365078307231 (0.0118237099813),0.242092984503 (0.0054919082829),0.209460052087 (0.00567398581727),0.123858409439 (0.00303206873829),0.087062797209 (0.00218284470811),0.0779498843183 (0.00189618148662),0.359121145301 (0.00492132930813),0.546313300579 (0.00840255954547),0.72454131042 (0.00179827555785),0.783515985775 (0.00479407883491),0.926593059141 (0.00496727745864),0.976944335279 (0.00434999017813),0.991315811342 (0.00129775825299),0.410678924293 (0.00531700178393),0.437615542163 (0.0106105983164),0.362882511137 (0.00606568793704),0.330520550353 (0.00732791633921),0.218495516297 (0.00475184289007),0.159870773611 (0.0037010369617),0.144528981254 (0.00326435885736),0.14525103569 (0.00080353828564),4.09261059761 (0.0484107282808)
0.864414710394 (0.00308906358339),0.937026666667 (0.0010912581933),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483011325783 (0.0139493695705),0.365011662779 (0.0100467478221),0.24369271788 (0.00615942074408),0.209598720171 (0.00539583912895),0.123965068995 (0.00291752150028),0.0871516821475 (0.00214007910235),0.0779649727392 (0.00193638821725),0.361585518075 (0.00718906358508),0.546271431818 (0.00678382145944),0.72928998002 (0.00346921893037),0.784035806881 (0.00343804709282),0.927415045775 (0.00549731341628),0.977950337681 (0.0035226255041),0.991504058018 (0.00194210141385),0.413511586762 (0.00872456361538),0.437554028944 (0.00851271567627),0.365275495578 (0.00708706438535),0.330739506198 (0.00686889903206),0.218684337155 (0.00455386112952),0.160034110379 (0.00362101954726),0.144556915144 (0.00333912291103),0.147757434845 (0.00104576720991),4.80062699318 (0.0599570755265)
0.863834803171 (0.00289195348827),0.937153333333 (0.000943186089804),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483011325783 (0.0114698676704),0.364878373875 (0.00990965127018),0.24297635388 (0.00613866763615),0.209332089055 (0.00578743090369),0.123605092994 (0.00299324514016),0.0870805741967 (0.00214074350541),0.0779341986589 (0.00181058989442),0.361584866518 (0.00402561732156),0.5460746773 (0.00652723666599),0.727197562245 (0.00417162127658),0.783000496378 (0.00397321690682),0.924702952453 (0.00474111705757),0.977149888685 (0.0028890103229),0.991141981366 (0.00106198263055),0.413511039472 (0.00544142983517),0.437395147765 (0.00832423410543),0.364208401857 (0.00709733117564),0.330315432648 (0.00748388376873),0.218048778516 (0.00468284758197),0.15990349992 (0.00362097757527),0.144500168993 (0.00310537770089),0.144806003571 (0.000380688242327),4.12365016937 (0.02590945789)
0.863177277709 (0.00302812345839),0.93716 (0.000859819102422),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.479813457695 (0.0129555872191),0.36467844052 (0.00932212720576),0.241926345609 (0.00609123852726),0.2087455006 (0.00587399906559),0.123511765882 (0.00300450711734),0.0871938531215 (0.00213925312398),0.0778818630018 (0.00179542608794),0.359190597659 (0.00607191464649),0.545790547581 (0.00576215996125),0.724003126403 (0.00293152340774),0.780802992539 (0.00517029893074),0.924001876486 (0.00473152605882),0.978449959707 (0.00328893525891),0.99093921491 (0.00153831565964),0.410773170574 (0.00754214669187),0.437160334908 (0.00756294525732),0.362627760365 (0.00698653813061),0.329389516229 (0.00764531339647),0.217884071483 (0.00470385156399),0.160111878593 (0.00361787488208),0.144408193565 (0.00308108440164),0.14516916275 (0.000344752460758),1.11093158722 (0.021094281315)
0.863798935349 (0.00291132181003),0.937186666667 (0.00109739084499),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.481945369753 (0.0121654493916),0.36467844052 (0.00987957638665),0.242892851191 (0.00586284792807),0.209172110385 (0.00575577473535),0.123605092994 (0.00291349758306),0.0870805741967 (0.00223993572039),0.0780204697855 (0.00188188694397),0.36077461271 (0.00411517519062),0.545775298356 (0.0063831217394),0.726919467618 (0.00413536360841),0.782403040505 (0.00356400894077),0.924717369153 (0.0047389964427),0.977125363228 (0.00390143996061),0.992218204516 (0.00118659469476),0.412590478404 (0.00595714170272),0.437155419314 (0.00826535020401),0.364079551036 (0.00668949265462),0.330063077997 (0.00742904156984),0.218049175887 (0.00454234897715),0.159903173399 (0.00380434731422),0.14465990655 (0.00323764759398),0.14457821846 (0.000963782209607),4.09669418335 (0.0410688021091)
0.864571510959 (0.00295441960691),0.9374 (0.001056619347),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.0132616775854),0.364611796068 (0.0102865878742),0.243726045659 (0.00597636864961),0.209652046394 (0.0048616146324),0.123778414772 (0.0030006590923),0.0871961246167 (0.00210902813523),0.0779969412964 (0.001868832932),0.361277510711 (0.00597164771731),0.545682073142 (0.00814219067538),0.729397747557 (0.00210585403074),0.78427864643 (0.00194072159129),0.925998423874 (0.00458609118383),0.978454940285 (0.00259544077067),0.99192313616 (0.00137746383133),0.413163577522 (0.00762915062697),0.437077644344 (0.00905564599757),0.365326495677 (0.00678663248531),0.330827539543 (0.00601212554137),0.218354497468 (0.00469388852449),0.160115795502 (0.00356205416976),0.144616325097 (0.00321358300198),0.147143936157 (0.00149014758725),4.79737200737 (0.0474656263353)
0.863305578821 (0.0028235784675),0.937306666667 (0.00113771701227),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482345103264 (0.0137829186313),0.364611796068 (0.0106326622876),0.242726212298 (0.00588931178161),0.208372217038 (0.00597574998803),0.123551763216 (0.00303839360752),0.0870886699074 (0.00220863878416),0.0779094745096 (0.00177825406444),0.361044034317 (0.0043449254972),0.545645379712 (0.00657268586919),0.726409665701 (0.0020221097332),0.779393281876 (0.00515328591737),0.924297762432 (0.0051862488027),0.977231002127 (0.00304685998688),0.990852736979 (0.00129743097089),0.412913221267 (0.00707961603169),0.437065870474 (0.00907209073635),0.363828367384 (0.00666755676563),0.328799349839 (0.00780502617985),0.217954528635 (0.00476536649798),0.159918237177 (0.00374520481324),0.14445458694 (0.00304522541009),0.162145137787 (0.000495813594088),2.09750299454 (0.0468287207612)
