AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.791065696739 (0.00543715134484),0.774146666667 (0.0045735762812),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.421052631579 (0.0123781203598),0.310429856714 (0.00933165124503),0.200133311115 (0.0060174871139),0.174083455539 (0.00506697343112),0.112085860943 (0.00286123080941),0.0847073463402 (0.00222904570447),0.0766715030783 (0.00177209773884),0.315202055721 (0.00651028827844),0.464530067858 (0.00366258503142),0.598889395776 (0.00723797296296),0.651152544576 (0.00655272957959),0.838530670845 (0.00820801848965),0.950487959187 (0.00528537083747),0.975091154589 (0.00319914163249),0.360467870309 (0.00789554462346),0.372107092205 (0.00771753582761),0.299978248616 (0.0073869357055),0.274694751392 (0.00669926810906),0.19772805138 (0.00453488525566),0.155545192776 (0.00379594987619),0.142159046573 (0.00304017300762),0.0016649723053 (0.000542849222415),1.03631844521 (0.109524920064)
0.699148282144 (0.00393855302936),0.933646666667 (0.0017708252941),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.341505662891 (0.0103691280258),0.239053648784 (0.0100754421534),0.160039993334 (0.0050660416199),0.14214104786 (0.00433503165431),0.0987800813279 (0.00264083385225),0.0781031954135 (0.00192812719263),0.0718403199875 (0.00158805197689),0.255691791956 (0.00709221940465),0.35766494717 (0.00899666528518),0.47890758479 (0.00730275368042),0.531658246488 (0.00620877248753),0.738949439086 (0.00570178996961),0.876413366162 (0.00364881708507),0.913668223072 (0.00256442566645),0.292392386115 (0.00774365329986),0.286531802102 (0.00987985484611),0.239882353105 (0.0063702924336),0.224290074649 (0.00580542284477),0.17425460163 (0.00419071447742),0.143418619648 (0.0032654488708),0.133201604563 (0.00271366450678),0.00145578384399 (0.00027565118483),2.22915959358 (0.581144850642)
0.791225681508 (0.00560648701954),0.775233333333 (0.00524870354363),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.421052631579 (0.0123781203598),0.310496501166 (0.0093478198421),0.200299950008 (0.00597302231421),0.17427009732 (0.00520811862876),0.112072528498 (0.00284403261137),0.0846984578463 (0.00223637048726),0.0766708999966 (0.00177202074439),0.315202055721 (0.00651028827844),0.464629175886 (0.00367568006336),0.599388867557 (0.0069661352364),0.651841258092 (0.00709907502482),0.838432823487 (0.00807487914806),0.950385814141 (0.00525026834058),0.975091154589 (0.00319914163249),0.360467870309 (0.00789554462346),0.372186789356 (0.00773643069921),0.300228139889 (0.00730950188184),0.274988442084 (0.0069291426507),0.197704584087 (0.00450352885877),0.155528838878 (0.00380918671972),0.14215801082 (0.00304005083557),0.00152707099915 (0.000263656325939),0.565778636932 (0.120770240351)
0.684116216266 (0.00988522024488),0.933306666667 (0.00162609279495),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.215056628914 (0.0329343111109),0.167410863046 (0.0156047667362),0.134110981503 (0.00742648808908),0.124436741768 (0.00615253827473),0.099153389774 (0.00262977187188),0.081454157593 (0.00193707996799),0.0748990235677 (0.00157385094518),0.16082139256 (0.0232314329929),0.250541707373 (0.022399004138),0.401301231913 (0.0188954630787),0.465364640951 (0.0170614409153),0.741811065598 (0.0112045317119),0.9140340902 (0.00302905542178),0.952602124351 (0.00506676567093),0.184001935636 (0.0272125394412),0.200682035347 (0.0182735456739),0.201015908947 (0.0105511631975),0.196347383397 (0.0090470478118),0.174915098521 (0.00424559441068),0.149572127373 (0.00326702449348),0.138873193464 (0.00268045926228),0.00137362480164 (0.000379010546962),0.265458011627 (0.0459049627539)
0.766408163 (0.0473628503159),0.80706 (0.056515387875),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.35856095936 (0.0826539187952),0.267844051983 (0.0572469246728),0.186235627395 (0.0305702399723),0.16349820024 (0.0218254466252),0.109166055596 (0.00505870965458),0.0839429358695 (0.00188729329315),0.0762479902749 (0.00166567375236),0.269444637947 (0.0649351326854),0.40219147316 (0.089787079204),0.558694477068 (0.0970013260301),0.612852730297 (0.08804983615),0.817177019412 (0.042557420378),0.942076146529 (0.0129445841073),0.969770502186 (0.00895048581867),0.307637793563 (0.0726878130963),0.321505394669 (0.0698565366523),0.279321835934 (0.0464358495797),0.258106783965 (0.0349336473245),0.192590912434 (0.00893829386296),0.154143730829 (0.00321993684351),0.141374474123 (0.00286045720725),0.00142221450806 (0.000317682478096),0.108162927628 (0.0246531017788)
0.604434987303 (0.0263282033167),0.933333333333 (0.00159596713973),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.142838107928 (0.0229033310311),0.12395868044 (0.0146435923673),0.108715214131 (0.0100186429292),0.103532862285 (0.00837773465349),0.0861809212719 (0.00615309286117),0.0738278298742 (0.00437304864045),0.0703423395161 (0.00333190137847),0.107055331518 (0.0176506237908),0.185767326097 (0.0233709883657),0.32557289893 (0.0314428229844),0.387467978308 (0.0327350730828),0.64458991739 (0.0416955248494),0.828171608358 (0.039189228758),0.894374082563 (0.0308388532431),0.122368077745 (0.019895121647),0.14867565803 (0.0179534179885),0.162983597359 (0.015112000159),0.163387754248 (0.0132443643478),0.152025560075 (0.0106669323362),0.13556417423 (0.00785559036979),0.130421483491 (0.00601303669042),0.00152916908264 (0.000286482296354),0.0826189994812 (0.00628966289178)
0.790649390584 (0.00557590028477),0.768693333333 (0.00454515126261),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.420652898068 (0.0120260084952),0.310163278907 (0.0091945193841),0.2 (0.00652697126705),0.173870150647 (0.00489135490574),0.111965868942 (0.00286340436021),0.084716234834 (0.00223389619523),0.0766715030783 (0.00179022788284),0.314915430462 (0.00672744600995),0.464140616697 (0.00410378441831),0.598465174522 (0.00888430520797),0.650370229546 (0.00627408066002),0.837626867367 (0.00767739543893),0.95058670117 (0.00533428913731),0.975085962277 (0.0032589918659),0.360133901661 (0.00786258430257),0.371790625567 (0.00763854914908),0.29977523979 (0.00818477303816),0.274359544396 (0.00642815317716),0.197516208604 (0.0045333341305),0.155561500749 (0.00380486223613),0.142158992068 (0.00307400034523),0.00148234367371 (0.000401028571792),1.00252761841 (0.116481108829)
0.698609529169 (0.00415161053693),0.933826666667 (0.00183028838044),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.349500333111 (0.0112715714764),0.246451182939 (0.00945459074203),0.164739210132 (0.00522789526908),0.144514064791 (0.00472396300726),0.0987534164389 (0.00243608242803),0.0774365583752 (0.00186310972939),0.0709932943806 (0.00172944620339),0.261614398587 (0.00538944188131),0.368761370829 (0.00807613250319),0.49297628849 (0.00802950714896),0.540510904988 (0.007406417411),0.7387857691 (0.00535289137181),0.868945023676 (0.00329596969773),0.902852564036 (0.0040061802104),0.299195917478 (0.00703960985464),0.295407611818 (0.00907619253798),0.246926820576 (0.00661462965162),0.228032485595 (0.00640959246402),0.174208563769 (0.00383247416894),0.142194653619 (0.00314771965036),0.131630656694 (0.00298243254009),0.00137720108032 (0.000207603070505),2.6552772522 (0.449200306561)
0.790692858944 (0.00555020354814),0.769033333333 (0.00441537717025),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.420919387075 (0.01201714738),0.310229923359 (0.00911105463519),0.200066655557 (0.006457853771),0.17392347687 (0.00492553629274),0.111979201387 (0.00285868254804),0.084716234834 (0.00223389619523),0.076679345908 (0.00178234236407),0.31511757816 (0.00683153405472),0.464243656367 (0.00404519454919),0.598664651247 (0.0084336183259),0.650567184932 (0.00637630517634),0.837725975395 (0.00750968388666),0.95058670117 (0.00533428913731),0.975188107323 (0.0032618988913),0.360363781821 (0.00792395553751),0.371871564458 (0.00754233971025),0.29987516406 (0.00806212063437),0.274443472375 (0.00648307793751),0.197539711747 (0.00452335306951),0.155561500749 (0.00380486223613),0.142173559241 (0.00305934043865),0.00159463882446 (0.000370472264869),0.642245149612 (0.0714179653131)
0.690065717677 (0.00630588011595),0.933286666667 (0.00167393083622),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.24543637575 (0.0314033296641),0.186004665112 (0.0191054661229),0.141676387269 (0.00764318672984),0.128729502733 (0.00511042199204),0.0994600359976 (0.00244460468175),0.0810808408515 (0.00214037441806),0.0744598251049 (0.00192275731522),0.183925189351 (0.0242700211415),0.27854721291 (0.0289942611303),0.424019035349 (0.0205747664151),0.481610833941 (0.0168302692201),0.744097803309 (0.00824415234017),0.909809598145 (0.00735011212063),0.946933135997 (0.00838475712354),0.210244443612 (0.0272645445509),0.223027038154 (0.0228757749824),0.212364946624 (0.01095540874),0.203137580711 (0.00761008620272),0.175455816823 (0.00387791844638),0.148886160459 (0.00365480826198),0.13805799291 (0.0033407345815),0.00139608383179 (0.000261170576276),0.317390775681 (0.0889875439397)
