AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.705652052407 (0.00502135402176),0.932486666667 (0.00169739669952),GaussianNB(),0.261692205197 (0.0128108891051),0.210863045651 (0.00636934104737),0.158773537744 (0.0040577853705),0.141527796294 (0.00429234692177),0.101459902673 (0.0022610190708),0.0800675525532 (0.0019640554708),0.073408885926 (0.00191451810249),0.195880947529 (0.008171421426),0.315563516872 (0.00491286068503),0.475165775104 (0.00437368316538),0.529384483919 (0.00746040824635),0.759097740061 (0.0077065884309),0.898486220879 (0.00762532998096),0.933544595649 (0.00605708230981),0.224022801934 (0.0097451602358),0.252766649502 (0.00571678541903),0.237989994027 (0.00478974487827),0.223324182593 (0.00580204933973),0.178984748392 (0.00353467934587),0.147026092701 (0.00333693552695),0.136109159224 (0.00332001163221),0.00792579650879 (0.00117738612079),0.0384843826294 (0.00183420342303)
0.642504020947 (0.0122106005098),0.933313333333 (0.00159924982414),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.148301132578 (0.0201661935728),0.134088637121 (0.0109418743701),0.118046992168 (0.00615400840531),0.112784962005 (0.00463125277223),0.0927804813012 (0.00293598470416),0.0782187458335 (0.00338171856891),0.0729540018039 (0.0027298906288),0.110980186653 (0.0142609550146),0.200647799161 (0.0149680684976),0.353329729291 (0.0173149139001),0.421991905092 (0.0164940886215),0.694423629405 (0.02534253101),0.877990481843 (0.0379592372356),0.927888054199 (0.0298485286233),0.126935743623 (0.0166405358078),0.160727780567 (0.0125138041587),0.176949247105 (0.00888232274066),0.177979524211 (0.00700403558864),0.163680904194 (0.0051337593894),0.143634657918 (0.00614331734913),0.135267193396 (0.00494653719905),0.00131525993347 (0.000248379738415),0.0738370418549 (0.00781527289631)
0.573055774579 (0.00637870808034),0.933126666667 (0.00157104353147),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.0766155896069 (0.00455766325822),0.0869043652116 (0.00442772015778),0.0921179803366 (0.00339616442669),0.0903879482736 (0.00343219602827),0.0808346110259 (0.00273903058588),0.0729656459713 (0.00208252687649),0.070624681385 (0.00168994327113),0.0573185482059 (0.00239488123264),0.130018907685 (0.00487882729808),0.275665632578 (0.00721050215321),0.338082926247 (0.00874214726292),0.60466192262 (0.0115462309542),0.81877428464 (0.012812219658),0.898199689421 (0.00765345029907),0.0655675653982 (0.00319042279478),0.10416250787 (0.00463465253939),0.138075779507 (0.00454168386152),0.142626670541 (0.00490694978722),0.142596390791 (0.00449864422518),0.133984774691 (0.00360467794677),0.130947542896 (0.00291922492313),0.00139579772949 (0.000200981437592),0.0749775886536 (0.00349976324334)
0.573055774579 (0.00637870808034),0.933126666667 (0.00157104353147),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.0766155896069 (0.00455766325822),0.0869043652116 (0.00442772015778),0.0921179803366 (0.00339616442669),0.0903879482736 (0.00343219602827),0.0808346110259 (0.00273903058588),0.0729656459713 (0.00208252687649),0.070624681385 (0.00168994327113),0.0573185482059 (0.00239488123264),0.130018907685 (0.00487882729808),0.275665632578 (0.00721050215321),0.338082926247 (0.00874214726292),0.60466192262 (0.0115462309542),0.81877428464 (0.012812219658),0.898199689421 (0.00765345029907),0.0655675653982 (0.00319042279478),0.10416250787 (0.00463465253939),0.138075779507 (0.00454168386152),0.142626670541 (0.00490694978722),0.142596390791 (0.00449864422518),0.133984774691 (0.00360467794677),0.130947542896 (0.00291922492313),0.00138368606567 (0.000269640918969),0.0753617763519 (0.0021038462673)
0.625741135795 (0.0271111798433),0.933313333333 (0.00161239642217),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.136309127249 (0.017889532307),0.127090969677 (0.0111090524164),0.114747542076 (0.00365938403101),0.108465537928 (0.00316674264074),0.0895806946204 (0.00615641415077),0.0766365939292 (0.00487561232711),0.0719579624328 (0.00348172175568),0.102226510623 (0.014615823192),0.190436108914 (0.0187648608159),0.343579623411 (0.0132351082789),0.405846852099 (0.0112843648865),0.670097037135 (0.0424612765122),0.859748596408 (0.0467466704806),0.915018111767 (0.0358556419046),0.11681548031 (0.0160570430783),0.152423498279 (0.0139047674343),0.172019612933 (0.00550720322089),0.171164961369 (0.00464678669248),0.158025060497 (0.0106870739612),0.140722590526 (0.00880024420265),0.13341807263 (0.00631562232781),0.00130281448364 (0.00030370209685),0.0753808021545 (0.00348888035654)
0.573055774579 (0.00637870808034),0.933126666667 (0.00157104353147),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.0766155896069 (0.00455766325822),0.0869043652116 (0.00442772015778),0.0921179803366 (0.00339616442669),0.0903879482736 (0.00343219602827),0.0808346110259 (0.00273903058588),0.0729656459713 (0.00208252687649),0.070624681385 (0.00168994327113),0.0573185482059 (0.00239488123264),0.130018907685 (0.00487882729808),0.275665632578 (0.00721050215321),0.338082926247 (0.00874214726292),0.60466192262 (0.0115462309542),0.81877428464 (0.012812219658),0.898199689421 (0.00765345029907),0.0655675653982 (0.00319042279478),0.10416250787 (0.00463465253939),0.138075779507 (0.00454168386152),0.142626670541 (0.00490694978722),0.142596390791 (0.00449864422518),0.133984774691 (0.00360467794677),0.130947542896 (0.00291922492313),0.00149064064026 (0.000152090902399),0.0760854244232 (0.00425464367972)
0.612945437279 (0.0303362000108),0.933326666667 (0.00158932550334),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.144703530979 (0.0171642505859),0.131756081306 (0.011228354081),0.115514080987 (0.00645165885549),0.109772030396 (0.00551262653082),0.0869675354976 (0.00420439435425),0.0739433802942 (0.00170427453435),0.0702011685816 (0.000790298875411),0.108585952174 (0.0148150184647),0.197549730057 (0.0200711520038),0.346125426872 (0.0243793905161),0.411178976739 (0.0277473851986),0.651513688791 (0.0442264603417),0.830478825671 (0.0347790159308),0.89323896875 (0.0215738678635),0.124051984227 (0.015944002818),0.158058305888 (0.0144398349249),0.173200197295 (0.0102056575061),0.173266259902 (0.00925725227152),0.153442230096 (0.00773677262725),0.135789958299 (0.00328900704592),0.130166808074 (0.00142984091074),0.00143241882324 (0.000325367346232),0.0772741794586 (0.00167761669793)
0.573055774579 (0.00637870808034),0.933126666667 (0.00157104353147),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.0766155896069 (0.00455766325822),0.0869043652116 (0.00442772015778),0.0921179803366 (0.00339616442669),0.0903879482736 (0.00343219602827),0.0808346110259 (0.00273903058588),0.0729656459713 (0.00208252687649),0.070624681385 (0.00168994327113),0.0573185482059 (0.00239488123264),0.130018907685 (0.00487882729808),0.275665632578 (0.00721050215321),0.338082926247 (0.00874214726292),0.60466192262 (0.0115462309542),0.81877428464 (0.012812219658),0.898199689421 (0.00765345029907),0.0655675653982 (0.00319042279478),0.10416250787 (0.00463465253939),0.138075779507 (0.00454168386152),0.142626670541 (0.00490694978722),0.142596390791 (0.00449864422518),0.133984774691 (0.00360467794677),0.130947542896 (0.00291922492313),0.00146059989929 (0.000139174333198),0.0778462409973 (0.00503984884575)
0.503506641757 (0.00202173654603),0.93266 (0.00218910433232),"SGDClassifier(alpha=0.0001, average=False, class_weight=None, epsilon=0.1,
       eta0=0.0, fit_intercept=True, l1_ratio=0.15,
       learning_rate='optimal', loss='modified_huber', n_iter=5, n_jobs=7,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       verbose=0, warm_start=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00116782188416 (0.000113671557834),0.0824518203735 (0.000177552990722)
0.604434987303 (0.0263282033167),0.933333333333 (0.00159596713973),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.142838107928 (0.0229033310311),0.12395868044 (0.0146435923673),0.108715214131 (0.0100186429292),0.103532862285 (0.00837773465349),0.0861809212719 (0.00615309286117),0.0738278298742 (0.00437304864045),0.0703423395161 (0.00333190137847),0.107055331518 (0.0176506237908),0.185767326097 (0.0233709883657),0.32557289893 (0.0314428229844),0.387467978308 (0.0327350730828),0.64458991739 (0.0416955248494),0.828171608358 (0.039189228758),0.894374082563 (0.0308388532431),0.122368077745 (0.019895121647),0.14867565803 (0.0179534179885),0.162983597359 (0.015112000159),0.163387754248 (0.0132443643478),0.152025560075 (0.0106669323362),0.13556417423 (0.00785559036979),0.130421483491 (0.00601303669042),0.00152916908264 (0.000286482296354),0.0826189994812 (0.00628966289178)
